1,용어,2019,202001,202002,202003,202004,202005,202006,202007,202008
2,1인 창조기업,333,-15,-12,-3,3,14,-7,6,-8
3,4Ps,24,-2,-2,-2,-2,-2,-1,13,22
4,5가지 경쟁요인 모델,0,0,0,0,0,0,0,0,0
5,ABAC,47,-4,-2,-2,0,-3,0,-1,5
6,ALCO 패키지,4,2,0,0,0,1,0,0,1
7,ASP,1623,-27,-70,-53,-17,-46,-32,34,-43
8,B2C,2273,-9,-76,8,23,-28,12,22,1
9,B2E,9,0,0,-1,0,1,-1,0,0
10,B2G,150,16,-7,-8,0,0,-3,9,-7
11,BCC,167,-4,-4,-8,-5,14,14,-8,-4
12,BEP,550,-10,12,-15,-18,-19,-6,-22,-10
13,BIS 자기자본비율,486,-27,-4,47,14,12,-1,-3,2
14,BPS,2313,-90,-45,-54,-34,-48,-62,-54,-2
15,CAPEX,521,-22,47,-31,-7,1,-20,-21,4
16,Cash Flow,42,-1,1,-3,0,-1,-3,1,-1
17,CCO,1599,1,-58,-3,-49,-14,0,12,11
18,CEO,30855,334,-691,-753,-769,-373,-323,-251,-619
19,CFO,2880,-8,72,-9,-37,-2,-147,-66,8
20,CIO,1722,-28,-22,-25,-46,-29,-6,-25,-15
21,COO,6928,-203,-178,58,212,-136,-4,170,-26
22,Cookie Jar,5,0,0,0,0,0,0,0,0
23,COSO,116,-6,4,-7,-9,-4,-7,-6,-7
24,CPM,205,-9,-6,-4,-6,-9,-8,-9,-9
25,CRB지수,5,0,0,0,0,0,0,0,0
26,Cross Default,7,-1,-1,0,0,0,0,0,1
27,CSF,178,-2,-13,-12,-5,-1,-6,-10,-9
28,CSG,63,11,-6,-2,-2,-2,-1,1,-3
29,CSR,1952,-7,-73,-50,-75,-54,-37,-20,-21
30,CTO,56542,-191,-153,266,67,-68,287,485,-642
31,D/A,618,48,-46,-13,-34,-31,50,61,54
32,D/P,59,-3,4,18,18,14,12,34,25
33,DDA 서비스협상 대상,0,0,0,0,0,0,0,0,0
34,EaR,14897,-210,-342,-214,-135,-117,-145,54,-200
35,EBITDA,702,-19,20,13,3,20,-10,-3,-28
36,EC공동변율환율제도,0,0,0,0,0,0,0,0,0
37,ERM 프레임워크,4,0,0,0,0,0,0,0,0
38,ESCO 사업,239,-14,-9,-4,-2,-8,-2,10,-5
39,EXW,11,0,0,-1,-1,-1,-1,-1,-1
40,First-to-Default 구조,0,0,0,0,0,0,0,0,0
41,FTE,1536,-59,-41,-33,101,8,35,59,-17
42,GDR,123,5,0,-7,-3,3,2,3,7
43,HRM,103,-5,0,-3,1,-5,5,-2,-6
44,IFRS,1891,-61,-62,-47,-56,-93,-13,-68,-31
45,ILO,4725,-232,-255,-181,-91,-179,-67,-13,-191
46,KPI,1142,23,0,-36,22,-34,4,14,-29
47,KSF,90,-4,-4,-7,-3,-4,6,-4,-4
48,LBO,26701,-1076,-882,-808,-940,-876,-486,-752,-929
49,LLC,4773,-53,-157,-143,-112,-154,-139,-163,-120
50,LOI,904,-16,-30,-14,-22,-27,13,0,-25
51,MBA,3317,-14,-64,-18,-71,-71,-103,-44,-100
52,MBO,627,-19,-19,-27,-10,-6,88,0,-28
53,MF500지수,0,0,0,0,0,0,0,0,0
54,MICE산업,837,-12,-11,-11,-11,-32,-5,-9,-46
55,MRO,912,-11,18,-19,-28,-20,-10,16,5
56,MSCI 선진지수,3,0,0,0,0,0,0,1,0
57,MSRP,2,0,1,0,0,0,0,1,0
58,MTN,4471,-17,4,18,41,7,150,185,25
59,Net Worth,31,0,-2,0,3,0,-1,-3,2
60,O2O 산업,563,-4,-21,-8,-3,2,3,6,2
61,OEM: Original Equipment Manufacturer,2,2,0,0,0,1,1,0,0
62,OPEX,24,-1,1,6,0,1,-1,-2,-2
63,P2P,2359,-34,-94,-32,-87,-79,-59,32,-18
64,PB,24726,-686,-742,-354,-266,-756,-739,-670,-777
65,PBR,11662,-584,-589,-156,-122,-652,-757,-729,-674
66,PFV,396,-17,11,-22,-22,-12,-8,1,-18
67,PMO,203,0,-10,-1,-10,-14,-8,-8,5
68,PPL마케팅,19,-1,-2,0,1,1,0,2,-2
69,ROE,18710,-1419,-1203,-967,-711,-580,-568,-836,-1071
70,SBHI,308,-14,-11,13,8,14,5,-10,2
71,SBU,92,-2,-3,2,5,3,-2,3,0
72,SCM,6856,9,141,-34,-164,4,-19,-11,-156
73,SOA,162,-4,5,8,1,1,-4,10,-2
74,SOHO,278,-7,-15,-6,6,17,2,-17,-5
75,SPA,9786,-242,-372,-335,-236,-203,-141,-15,-232
76,SPAC,2062,-31,-46,-80,-70,-28,-19,-55,-66
77,SSM,1508,-16,-7,-5,-11,66,-9,-28,-41
78,Stakeholder,34,17,1,-3,-1,-3,-2,0,-1
79,Standard operating procedure,0,1,0,0,0,0,0,0,0
80,SWOT분석,92,-5,-3,-5,-6,-4,2,6,1
81,Tag Along,33,4,3,0,-2,-3,0,-1,-1
82,Tick,1287,-24,-28,-64,-68,-79,-63,-53,-43
83,Tier 1 비율,19,-2,1,0,-2,5,-1,-1,5
84,Time to market,95,-3,-4,1,-5,-6,-2,0,-1
85,Turn Around,88,5,-3,-3,3,-7,-3,-3,-4
86,VE,84907,-1071,-1328,-142,-461,-448,143,235,-662
87,WACC,7,-1,-1,0,0,1,0,0,1
88,XBRL,10,-1,-1,-1,4,-1,-1,-1,-1
89,Z이론,2,0,0,0,0,0,0,0,0
90,가격파괴,163,-8,-8,-4,-10,-3,-5,-8,-5
91,가산보험금,0,0,0,0,0,0,0,0,0
92,가상광고 ,69,4,-5,-5,-2,-3,-2,0,-5
93,가상기업,28,-2,-1,-1,0,1,3,1,-1
94,가젤형기업,2,0,0,0,0,0,0,0,0
95,감성 판매 제안,167,2,-3,1,3,0,16,1,-2
96,감자,11302,-339,-296,167,108,22,343,129,-229
97,감자차익,4,0,0,3,0,0,0,0,0
98,강세장,492,-2,-25,57,-18,-17,39,33,56
99,개방형 혁신,3213,-22,-133,-137,-80,-9,-9,-21,-78
100,거래비용,484,-8,-19,-8,-18,-1,17,32,-16
101,건강보험 통합주의,0,0,0,0,0,0,0,0,0
102,게릴라 마케팅,73,-2,-5,-6,-2,-5,2,-4,-3
103,게임체인저,477,18,-2,0,6,23,3,-3,2
104,결합재무제표,1,0,0,0,0,0,0,1,1
105,경업금지,21,-1,5,1,-1,-2,-1,-1,0
106,경쟁우위,2245,-41,-76,-60,-64,-25,-33,40,-52
107,경제적 자본,2932,-43,-65,57,50,73,34,2,-33
108,경험분포,2,0,0,0,0,0,0,0,0
109,계속기업,273,-3,-2,10,3,20,16,3,26
110,계열위험,4,0,0,0,0,0,0,0,0
111,고객행동 시나리오,3,0,0,0,2,0,0,0,1
112,고유 판매 제안,108,2,0,-4,-4,-1,-3,8,2
113,공공성의 원칙,678,-16,-25,-20,-25,16,1,-3,15
114,공급자관계관리,1,0,0,0,0,0,0,0,0
115,공동출자,1070,-8,-48,51,-1,-25,-23,-5,-26
116,공모증자,27,3,-2,-2,-1,-2,1,-2,-1
117,공유지의 비극,56,-4,-1,2,-2,1,-2,-2,-1
118,공정고지,0,0,0,0,0,0,0,0,0
119,과당경쟁,944,-32,-42,-39,-20,-9,-18,-26,-33
120,과업환경,0,0,0,0,0,0,0,0,1
121,과점주주,248,-1,30,42,-22,-14,-15,-18,-13
122,관계마케팅,15,0,0,1,-1,-1,2,2,-1
123,관리재정수지,667,5,-30,58,106,8,130,0,65
124,교제비,30,2,-2,0,-1,-2,-1,-2,0
125,교환재보험,0,0,0,0,0,0,0,0,0
126,구조조정,13686,-334,-252,203,1193,406,133,-45,-406
